Nukkit-Commit,PowerNukkit-Tag,PowerNukkit-Previous,New-Version-Name,Old-Version-Name
666afc5,v1.1.1.0-PN-MVN,,1.1.1.0-PN,
29c2a366,v1.1.1.1-PN-MVN,v1.1.1.0-PN-MVN,1.1.1.1-PN,1.1.1.0-PN
c43d4252,v1.2.0.0-PN-MVN,v1.1.1.1-PN-MVN,1.2.0.0-PN,1.1.1.1-PN
09068449,v1.2.0.2-PN-MVN,v1.2.0.0-PN-MVN,1.2.0.2-PN,1.2.0.0-PN
4b7532ef,v1.2.1.0-PN-MVN,v1.2.0.2-PN-MVN,1.2.1.0-PN,1.2.0.2-PN
a5056874,v1.3.0.1-PN-MVN,v1.2.1.0-PN-MVN,1.3.0.1-PN,1.2.1.0-PN
b6a1fbe2,v1.3.1.1-PN-MVN,v1.3.0.1-PN-MVN,1.3.1.1-PN,1.3.0.1-PN
7074b53c,v1.3.1.2-PN,v1.3.1.1-PN-MVN,1.3.1.2-PN,1.3.1.1-PN
2751f1a7,v1.3.1.3-PN,v1.3.1.2-PN,1.3.1.3-PN,1.3.1.2-PN
